Facility name,Username,Channel id,Channel name,Content id,Content title,Time of first interaction,Time of last interaction,Time of completion,Time Spent (sec),Progress (0-1),Content kind
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 00:53:40.803698+00:00,2022-04-05 00:53:44.862285+00:00,,1.1,0.0000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,4f036c8c3d96435095cec48172e40a88,Os Números - Artefato I,2022-04-05 00:54:20.746104+00:00,2022-04-05 00:54:37.619404+00:00,,15.0,1.0000,document
Associação PiPA,Vitória,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,a522f87a01fb5bac8968e1b38b183688,Mudanças do estado físico da água,2022-04-05 00:54:38.272999+00:00,2022-04-05 00:55:06.946090+00:00,,14.4,0.0380,video
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,51dac081b21a4447b65ac30fbb0b394c,Os Números - Artefato II,2022-04-05 00:54:42.815439+00:00,2022-04-05 00:55:02.396925+00:00,,5.0,1.0000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,9c7d8d5d1d2b4670a64c0dce37dde546,Os Números - Quiz,2022-04-05 00:54:52.297086+00:00,2022-04-05 00:55:01.010924+00:00,,5.0,0.0000,exercise
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,a972dc7a9cce4c1b89c65ca7d3d03366,Introdução à Máteria,2022-04-05 00:55:10.952214+00:00,2022-04-05 00:55:12.653941+00:00,,1.1,0.0000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,4f036c8c3d96435095cec48172e40a88,Os Números - Artefato I,2022-04-05 00:55:17.202863+00:00,2022-04-05 00:55:29.248685+00:00,,10.0,0.0000,document
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,d6a02486a11f4370b51a132a7e963e56,Os Números - Comunicação Interplanetária,2022-04-05 00:55:30.163895+00:00,2022-04-05 00:55:41.208834+00:00,,10.0,1.0000,document
Associação PiPA,Vitória,ff09316f01d84a009998c787c4ef13c0,Ciências da Natureza - Preparando o Futuro,a522f87a01fb5bac8968e1b38b183688,Mudanças do estado físico da água,2022-04-05 00:55:33.525814+00:00,2022-04-05 00:55:36.696872+00:00,,0.3,0.0000,video
Associação PiPA,Aleteste,e42b12c37cfa4784920f256fe696dc56,Universo do Conhecimento - Preparando o Futuro,51dac081b21a4447b65ac30fbb0b394c,Os Números - Artefato II,2022-04-05 00:55:44.473352+00:00,2022-04-05 00:55:49.360837+00:00,,3.9,0.0000,document
